content,score
kurang menarik karena brang saya ga di kembalikan,3
Thanks udah di anterin,5
"Dengan adanya apk grab perjalan saya dgn tujuan kemanapun kini menjadi mudah dan nyaman,, pelayanan pun ramah dan sopan terimakasih bapa grab 🙏",5
sangat membantu,5
bagus pelayanan beik dan cepat respon.,5
LAYANAN GRAB FOODNYA kurang memuaskan. Sering banget pesen dapet pengemudinya lama sampe 20mnt lebih mana gak bisa di batalin secara langsung pula. Masa iya udah dapet pengemudinya hampir setengah jam dianterinnya juga hampir sejam padahal jaraknya cuman 2km'an.,3
SAMA NYA KAYA GOJEK 11/12 SAMA SAMA ERROR,2
mahal di ongkir,3
ribet amat si pakai grab pakai tanggal sama jam gak bisa automatis atau gimana driver tolol apk jugak gak bisa cansel drive kemana jemput kemana,1
baik,5
sangat menikmati perjalanan,5
bagus,5
ok,5
"sangat membantu sekali, makasih banyak 🙏🙏🙏",5
"ini grab food niat kerja ga sihh saya mesen mie 3 kali ga ada driver yg nerima nya,udh 3 kali lohh,klo ga niat kerja mah jangan kerja atuhh,ini juga demi kenyamanan pelangga dan pihak grab",1
orang nya ramah dan sopan,5
ya bagus,5
susah nyari driver 😭😭,2
"pelayanan ok, ramah,endaraan nyaman dan bersih. menunggu kedatangan armada pun tdk lama.",5
sesuai harapan,5
sangat membantu,5
sempurna,5
sangat membantu dan nyaman,5
mantap,5
pesan grab car.selalu di cancel padahal kagak ngutang juga.mentang mentang jaraknya dekat pada gak mau,1
"maps nya grab itu udah lama banget sepertinya tidak di perbaharui, jadi suka nyasar tempatnya, dan tidak spesifik tolong doang diperbaiki.",1
👍👍👍,5
ok 9,5
good,5
"aplikasi saya bermasalah tidak bisa digunakan memesan kendaraan maupun makanan, tolong berikan solusi",1
mantaap,5
baik dan nyaman,5
praktis,5
mantab,5
puas pelayananny sesuai aplikasi,5
bagus baik ramah,5
bagus cara bawanya,5
Ok,5
sangat menyenangkan,5
baik,5
👍,5
AC kurang dingin,4
Good,5
Ramah Dan Amanah,5
👍,5
